epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7858,0.89232,1.72094,1.04433,0.95516,0.4485,0.62868,0.49926,0.60757,2.04029,0.88831,0.000657005,0.000657005,0.000657005
2,23.7648,0.94749,1.28379,1.042,0.80876,0.63896,0.78114,0.58798,0.56334,0.83831,0.89841,0.00129091,0.00129091,0.00129091
3,34.9567,0.94007,1.11362,1.02335,0.84861,0.79424,0.88607,0.63263,0.59249,0.7037,0.90923,0.00189182,0.00189182,0.00189182
4,45.9559,1.01001,0.99805,1.03226,0.88496,0.80901,0.91165,0.63467,0.58205,0.66051,0.89705,0.0018515,0.0018515,0.0018515
5,56.9262,0.93045,0.8844,1.01074,0.87859,0.83007,0.9196,0.66901,0.50922,0.60803,0.87661,0.001802,0.001802,0.001802
6,67.6506,0.87924,0.79955,1.01571,0.85418,0.83962,0.91104,0.66122,0.51441,0.55517,0.8777,0.0017525,0.0017525,0.0017525
7,80.1144,0.89907,0.76347,1.01416,0.85154,0.83269,0.9095,0.66681,0.48949,0.46033,0.86379,0.001703,0.001703,0.001703
8,93.3214,0.84601,0.70722,0.99835,0.87143,0.83628,0.91879,0.67478,0.48985,0.42178,0.86102,0.0016535,0.0016535,0.0016535
9,106.527,0.90582,0.70424,1.00047,0.88124,0.86147,0.93505,0.7038,0.45436,0.37681,0.85221,0.001604,0.001604,0.001604
10,119.755,0.8324,0.66317,0.98839,0.89366,0.85064,0.93287,0.70367,0.4485,0.37861,0.84965,0.0015545,0.0015545,0.0015545
11,132.88,0.79187,0.61924,0.97105,0.89441,0.86056,0.93926,0.71027,0.45203,0.36574,0.85186,0.001505,0.001505,0.001505
12,146.123,0.83238,0.63092,0.98076,0.90063,0.85709,0.93816,0.71809,0.42824,0.35066,0.84587,0.0014555,0.0014555,0.0014555
13,159.313,0.83614,0.60645,0.97813,0.87664,0.85319,0.93237,0.70303,0.46568,0.36251,0.85801,0.001406,0.001406,0.001406
14,172.368,0.82816,0.59983,0.99435,0.89272,0.84632,0.93173,0.70492,0.44512,0.34298,0.84694,0.0013565,0.0013565,0.0013565
15,185.44,0.7909,0.56786,0.96869,0.89029,0.87833,0.94463,0.72511,0.41678,0.33783,0.8414,0.001307,0.001307,0.001307
16,198.48,0.76075,0.55606,0.96179,0.88432,0.88112,0.94738,0.73124,0.42026,0.3315,0.8383,0.0012575,0.0012575,0.0012575
17,211.493,0.75267,0.54472,0.97197,0.88334,0.86711,0.94067,0.71231,0.47849,0.32893,0.84922,0.001208,0.001208,0.001208
18,224.534,0.78063,0.54736,0.95768,0.87355,0.87281,0.9372,0.73275,0.40009,0.3126,0.82981,0.0011585,0.0011585,0.0011585
19,237.662,0.77666,0.55746,0.96479,0.87138,0.86701,0.94182,0.72885,0.41323,0.32805,0.8369,0.001109,0.001109,0.001109
20,250.99,0.76112,0.52066,0.96643,0.89429,0.88364,0.94866,0.73839,0.36097,0.29185,0.82864,0.0010595,0.0010595,0.0010595
21,261.916,0.75846,0.5184,0.95202,0.89153,0.87034,0.94556,0.73847,0.38955,0.2976,0.83011,0.00101,0.00101,0.00101
22,272.588,0.76934,0.52241,0.95925,0.90874,0.87548,0.95135,0.74615,0.35415,0.29126,0.82471,0.0009605,0.0009605,0.0009605
23,283.439,0.76487,0.52381,0.95694,0.89931,0.87437,0.95093,0.7531,0.35589,0.2836,0.82109,0.000911,0.000911,0.000911
24,294.157,0.73945,0.50571,0.95105,0.87919,0.87366,0.94337,0.74492,0.36257,0.27588,0.82184,0.0008615,0.0008615,0.0008615
25,304.92,0.7514,0.49584,0.94326,0.91372,0.86479,0.9511,0.7568,0.33935,0.27632,0.82029,0.000812,0.000812,0.000812
26,315.574,0.74035,0.49548,0.95343,0.89072,0.86115,0.9459,0.7455,0.34954,0.28335,0.82379,0.0007625,0.0007625,0.0007625
27,326.242,0.76572,0.50855,0.95552,0.90131,0.88396,0.95528,0.75791,0.32723,0.26368,0.81674,0.000713,0.000713,0.000713
28,337,0.72281,0.48295,0.95791,0.91473,0.88253,0.95767,0.76115,0.34349,0.25987,0.8165,0.0006635,0.0006635,0.0006635
29,348.846,0.75695,0.49543,0.96604,0.92419,0.87371,0.95695,0.75931,0.34415,0.25847,0.81553,0.000614,0.000614,0.000614
30,359.525,0.65788,0.44762,0.94173,0.90368,0.88032,0.9545,0.75904,0.33777,0.24778,0.81395,0.0005645,0.0005645,0.0005645
31,384.941,0.56772,0.39082,0.87829,0.91142,0.88558,0.95785,0.76497,0.31461,0.24115,0.80881,0.000515,0.000515,0.000515
32,396.928,0.52812,0.36478,0.86876,0.91508,0.89164,0.95953,0.76864,0.31583,0.24207,0.80758,0.0004655,0.0004655,0.0004655
33,409.005,0.54148,0.36765,0.87344,0.91758,0.89241,0.96074,0.77001,0.32396,0.2427,0.80754,0.000416,0.000416,0.000416
34,421.917,0.54285,0.37402,0.87306,0.91477,0.87218,0.95691,0.76833,0.31975,0.23857,0.80713,0.0003665,0.0003665,0.0003665
35,434.76,0.51258,0.34986,0.86425,0.91766,0.89952,0.96324,0.77332,0.2861,0.22967,0.80171,0.000317,0.000317,0.000317
36,447.681,0.53733,0.36298,0.86645,0.92566,0.89656,0.96343,0.77213,0.30449,0.22988,0.80393,0.0002675,0.0002675,0.0002675
37,460.692,0.51915,0.34233,0.87064,0.92444,0.89483,0.96439,0.77527,0.30351,0.22318,0.8027,0.000218,0.000218,0.000218
38,473.675,0.49534,0.33414,0.86098,0.92549,0.89011,0.96484,0.77674,0.27755,0.21526,0.79814,0.0001685,0.0001685,0.0001685
39,485.392,0.49373,0.33478,0.86367,0.92797,0.89942,0.9667,0.78088,0.29743,0.21284,0.7996,0.000119,0.000119,0.000119
40,496.017,0.5116,0.32786,0.86365,0.92751,0.89802,0.96752,0.78164,0.2762,0.20494,0.79654,6.95e-05,6.95e-05,6.95e-05
