epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.115,0.87357,1.25328,1.0362,0.85177,0.74658,0.84795,0.60567,0.58482,0.76501,0.89327,0.000647619,0.000647619,0.000647619
2,18.8627,0.8932,0.73,1.0268,0.7995,0.72516,0.82235,0.52493,0.78891,0.81747,1.0504,0.00129802,0.00129802,0.00129802
3,27.5462,0.95213,0.68215,1.02442,0.73029,0.5519,0.64451,0.44167,0.81975,0.8901,1.05199,0.00193192,0.00193192,0.00193192
4,36.0233,0.8947,0.61836,1.01287,0.68456,0.659,0.6867,0.48151,0.77064,0.76867,1.04071,0.00192575,0.00192575,0.00192575
5,44.3279,0.89127,0.63504,1.02459,0.82457,0.77439,0.85506,0.59428,0.6833,0.58925,0.97591,0.001901,0.001901,0.001901
6,52.7329,0.8788,0.60282,0.99743,0.86641,0.78722,0.85413,0.62048,0.62042,0.71772,0.93565,0.00187625,0.00187625,0.00187625
7,61.0992,0.85144,0.56199,0.9945,0.57174,0.69745,0.71009,0.5462,0.61858,0.74207,0.9304,0.0018515,0.0018515,0.0018515
8,69.5467,0.83161,0.56433,0.99965,0.9138,0.74403,0.87317,0.64142,0.56521,0.4654,0.9042,0.00182675,0.00182675,0.00182675
9,77.9856,0.82514,0.54995,0.977,0.77337,0.78057,0.85166,0.63458,0.55561,0.4605,0.89622,0.001802,0.001802,0.001802
10,86.4589,0.82257,0.55566,0.98159,0.84642,0.74547,0.84236,0.60357,0.60053,0.56703,0.91897,0.00177725,0.00177725,0.00177725
11,94.704,0.79524,0.53704,0.97243,0.8701,0.80606,0.90135,0.65715,0.55793,0.40883,0.90339,0.0017525,0.0017525,0.0017525
12,103.05,0.78409,0.52121,0.9755,0.86927,0.8155,0.9039,0.6579,0.61922,0.38831,0.91678,0.00172775,0.00172775,0.00172775
13,111.483,0.82078,0.53149,0.97558,0.86277,0.85239,0.91866,0.68443,0.51159,0.3657,0.87948,0.001703,0.001703,0.001703
14,119.875,0.83151,0.5359,0.96631,0.88202,0.78708,0.89176,0.66031,0.53026,0.40031,0.87665,0.00167825,0.00167825,0.00167825
15,128.119,0.74638,0.49277,0.97676,0.88322,0.80938,0.90342,0.67073,0.53252,0.37921,0.88327,0.0016535,0.0016535,0.0016535
16,136.389,0.73824,0.48502,0.95045,0.83961,0.79054,0.88044,0.66961,0.51102,0.41371,0.87989,0.00162875,0.00162875,0.00162875
17,144.674,0.76369,0.49892,0.97277,0.75777,0.69571,0.78001,0.59745,0.57443,0.47565,0.9074,0.001604,0.001604,0.001604
18,153.053,0.76278,0.48512,0.9629,0.87098,0.84189,0.91613,0.69135,0.50336,0.33821,0.86974,0.00157925,0.00157925,0.00157925
19,161.48,0.7597,0.48103,0.95257,0.89731,0.82453,0.91262,0.69262,0.48287,0.34333,0.86131,0.0015545,0.0015545,0.0015545
20,169.848,0.73562,0.48358,0.96196,0.91219,0.82121,0.92527,0.70371,0.49015,0.33462,0.86226,0.00152975,0.00152975,0.00152975
21,178.165,0.73741,0.48123,0.95157,0.85093,0.80976,0.88932,0.65729,0.53214,0.39784,0.87706,0.001505,0.001505,0.001505
22,186.38,0.71077,0.4677,0.94876,0.6429,0.79165,0.78642,0.62011,0.48156,0.56249,0.86876,0.00148025,0.00148025,0.00148025
23,194.641,0.75004,0.47727,0.95217,0.90616,0.84411,0.92556,0.70229,0.47898,0.33081,0.85874,0.0014555,0.0014555,0.0014555
24,202.948,0.7568,0.47932,0.95186,0.91015,0.83857,0.92863,0.71428,0.41481,0.32686,0.84597,0.00143075,0.00143075,0.00143075
25,211.388,0.72443,0.4513,0.93986,0.87149,0.80163,0.89943,0.67205,0.51582,0.41414,0.89154,0.001406,0.001406,0.001406
26,219.742,0.74038,0.46157,0.95196,0.87774,0.84485,0.92727,0.7141,0.43591,0.32018,0.84956,0.00138125,0.00138125,0.00138125
27,228.023,0.746,0.45785,0.95338,0.80454,0.69795,0.81961,0.64982,0.46896,0.56353,0.86014,0.0013565,0.0013565,0.0013565
28,236.275,0.67502,0.42843,0.93246,0.89891,0.87329,0.94017,0.73627,0.39069,0.28536,0.83611,0.00133175,0.00133175,0.00133175
29,244.496,0.69374,0.4333,0.93511,0.90244,0.85086,0.93691,0.72563,0.45885,0.29404,0.84455,0.001307,0.001307,0.001307
30,252.721,0.62822,0.4028,0.93007,0.8934,0.84817,0.93011,0.71061,0.46133,0.29861,0.84582,0.00128225,0.00128225,0.00128225
