epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6178,0.9119,1.74271,1.01044,1,0.21719,0.47601,0.39569,0.67028,2.35969,0.85662,0.000647619,0.000647619,0.000647619
2,38.0635,0.92962,1.00083,1.00714,0.96442,0.46064,0.52213,0.43158,0.69932,1.50211,0.89975,0.00129802,0.00129802,0.00129802
3,56.3152,0.9736,0.90589,0.99547,0.81843,0.67935,0.7958,0.55651,0.69637,0.96694,0.89151,0.00193192,0.00193192,0.00193192
4,74.4344,0.8941,0.81054,0.9799,0.81269,0.73919,0.83826,0.57262,0.68665,0.80079,0.89046,0.00192575,0.00192575,0.00192575
5,94.6083,0.89677,0.78044,0.98977,0.8755,0.76374,0.87056,0.5888,0.63645,0.62647,0.87189,0.001901,0.001901,0.001901
6,114.278,0.88093,0.72711,0.97363,0.85995,0.79239,0.87915,0.61437,0.6001,0.64959,0.86963,0.00187625,0.00187625,0.00187625
7,133.721,0.85822,0.67784,0.96961,0.85702,0.77761,0.86702,0.6012,0.59779,0.57991,0.86583,0.0018515,0.0018515,0.0018515
8,153.13,0.82372,0.64765,0.97066,0.84294,0.79535,0.88222,0.6454,0.57403,0.4985,0.86631,0.00182675,0.00182675,0.00182675
9,172.304,0.83484,0.61517,0.96367,0.84082,0.81603,0.89031,0.65283,0.54457,0.45329,0.8601,0.001802,0.001802,0.001802
10,191.572,0.81948,0.6166,0.95731,0.87266,0.81013,0.89866,0.65696,0.51443,0.44746,0.85343,0.00177725,0.00177725,0.00177725
11,210.757,0.81087,0.59817,0.95616,0.87245,0.8164,0.90419,0.6656,0.52929,0.41756,0.8614,0.0017525,0.0017525,0.0017525
12,229.915,0.78272,0.57512,0.95511,0.84097,0.80682,0.89587,0.6579,0.53853,0.4349,0.86132,0.00172775,0.00172775,0.00172775
13,249.046,0.83159,0.58769,0.95773,0.88112,0.81316,0.89986,0.66349,0.53327,0.4208,0.85028,0.001703,0.001703,0.001703
14,268.309,0.82578,0.57436,0.94982,0.89113,0.81529,0.90816,0.66686,0.53083,0.40187,0.84722,0.00167825,0.00167825,0.00167825
15,287.38,0.73763,0.53294,0.95463,0.88427,0.82416,0.91353,0.68042,0.46794,0.3961,0.84473,0.0016535,0.0016535,0.0016535
16,306.349,0.74217,0.51626,0.9354,0.86738,0.8142,0.90524,0.68145,0.47798,0.4003,0.84492,0.00162875,0.00162875,0.00162875
17,325.609,0.76034,0.52457,0.94412,0.87922,0.82021,0.91124,0.69522,0.47031,0.37593,0.83234,0.001604,0.001604,0.001604
18,344.842,0.77522,0.52753,0.94187,0.88172,0.82933,0.91474,0.68897,0.48422,0.3716,0.83584,0.00157925,0.00157925,0.00157925
19,364.037,0.77019,0.52018,0.94184,0.89142,0.83399,0.91698,0.69639,0.46978,0.36131,0.8292,0.0015545,0.0015545,0.0015545
20,383.278,0.73219,0.50478,0.94145,0.89774,0.82376,0.91641,0.69039,0.48695,0.37258,0.83886,0.00152975,0.00152975,0.00152975
21,401.639,0.7422,0.51542,0.93719,0.87735,0.82711,0.91439,0.68835,0.46145,0.35779,0.83514,0.001505,0.001505,0.001505
22,421.703,0.71857,0.48219,0.9344,0.89201,0.82994,0.92266,0.70701,0.43638,0.33776,0.82486,0.00148025,0.00148025,0.00148025
23,437.832,0.75912,0.50819,0.9402,0.88445,0.84824,0.92365,0.70897,0.44279,0.33685,0.82315,0.0014555,0.0014555,0.0014555
24,445.331,0.76267,0.51097,0.94015,0.89707,0.83118,0.92224,0.71306,0.41879,0.33518,0.82552,0.00143075,0.00143075,0.00143075
25,452.718,0.73525,0.48949,0.92298,0.88322,0.84485,0.92632,0.7033,0.45529,0.33385,0.82462,0.001406,0.001406,0.001406
26,460.211,0.76334,0.49881,0.94526,0.88973,0.83229,0.92224,0.71252,0.42629,0.32974,0.8193,0.00138125,0.00138125,0.00138125
27,467.75,0.75822,0.49954,0.94523,0.89909,0.84914,0.92932,0.71968,0.41077,0.32418,0.81257,0.0013565,0.0013565,0.0013565
28,503.866,0.68012,0.4568,0.92053,0.89201,0.84004,0.92445,0.71435,0.41068,0.33575,0.82414,0.00133175,0.00133175,0.00133175
29,569.491,0.68824,0.46325,0.92245,0.89575,0.85703,0.93529,0.72769,0.41121,0.31662,0.81597,0.001307,0.001307,0.001307
30,632.147,0.6409,0.43212,0.91765,0.87216,0.84678,0.92396,0.71855,0.40587,0.3182,0.81114,0.00128225,0.00128225,0.00128225
31,697.012,0.72014,0.47368,0.92616,0.87041,0.84608,0.92343,0.71815,0.44701,0.33055,0.82435,0.0012575,0.0012575,0.0012575
32,762.736,0.71431,0.46066,0.91312,0.88974,0.84957,0.93035,0.73042,0.3805,0.30011,0.81388,0.00123275,0.00123275,0.00123275
33,824.019,0.71011,0.45568,0.93023,0.8976,0.84928,0.9321,0.71974,0.40852,0.30425,0.81816,0.001208,0.001208,0.001208
34,883.322,0.72072,0.47895,0.93047,0.91033,0.86258,0.93478,0.72611,0.38341,0.30003,0.80757,0.00118325,0.00118325,0.00118325
35,948.519,0.71433,0.45832,0.92475,0.90459,0.85113,0.92955,0.70654,0.447,0.31777,0.81999,0.0011585,0.0011585,0.0011585
36,1010.83,0.69736,0.45407,0.92461,0.8991,0.84817,0.93016,0.727,0.39421,0.30677,0.81172,0.00113375,0.00113375,0.00113375
37,1075.48,0.72176,0.46113,0.92736,0.90937,0.85999,0.93951,0.73732,0.39825,0.29342,0.81088,0.001109,0.001109,0.001109
38,1138.64,0.65085,0.43009,0.91192,0.9077,0.85741,0.93743,0.73078,0.42063,0.31428,0.81732,0.00108425,0.00108425,0.00108425
39,1203.08,0.69297,0.45154,0.93078,0.89952,0.85649,0.93515,0.72671,0.41587,0.30243,0.81309,0.0010595,0.0010595,0.0010595
40,1217.18,0.67321,0.44037,0.92243,0.91285,0.86221,0.93553,0.72855,0.4025,0.29316,0.80996,0.00103475,0.00103475,0.00103475
41,1224.56,0.685,0.44234,0.91979,0.90435,0.85334,0.93148,0.7338,0.41277,0.30736,0.81594,0.00101,0.00101,0.00101
42,1234.36,0.69669,0.45168,0.91355,0.91161,0.86369,0.93692,0.73924,0.3787,0.28495,0.80366,0.00098525,0.00098525,0.00098525
43,1255.27,0.65504,0.42815,0.92001,0.92082,0.84854,0.9377,0.73765,0.36074,0.28765,0.805,0.0009605,0.0009605,0.0009605
44,1272.61,0.66504,0.42478,0.91201,0.90534,0.86443,0.93961,0.73314,0.41365,0.30824,0.81365,0.00093575,0.00093575,0.00093575
45,1287.78,0.65801,0.41668,0.92127,0.91397,0.85556,0.94071,0.73409,0.39178,0.27986,0.80872,0.000911,0.000911,0.000911
46,1303.62,0.66336,0.42496,0.90802,0.9171,0.8541,0.94214,0.7426,0.36998,0.27458,0.80319,0.00088625,0.00088625,0.00088625
47,1310.88,0.62673,0.40676,0.9094,0.91341,0.84411,0.93567,0.74876,0.36123,0.2719,0.79697,0.0008615,0.0008615,0.0008615
48,1316.38,0.70212,0.44097,0.91049,0.91187,0.85999,0.94261,0.74584,0.38753,0.27847,0.80548,0.00083675,0.00083675,0.00083675
49,1322.25,0.63688,0.40283,0.9177,0.92176,0.86553,0.94672,0.75456,0.33682,0.25883,0.80223,0.000812,0.000812,0.000812
50,1347.29,0.64241,0.40764,0.90878,0.92331,0.86733,0.94773,0.75174,0.35694,0.276,0.79957,0.00078725,0.00078725,0.00078725
51,1413.22,0.67697,0.42035,0.92075,0.92003,0.86697,0.9436,0.74659,0.34492,0.26373,0.79719,0.0007625,0.0007625,0.0007625
52,1477.65,0.71683,0.44175,0.90997,0.91249,0.86923,0.94531,0.74666,0.34327,0.26628,0.80167,0.00073775,0.00073775,0.00073775
53,1536.67,0.66084,0.41289,0.90325,0.91287,0.87082,0.94819,0.75716,0.33283,0.25949,0.79708,0.000713,0.000713,0.000713
54,1589.92,0.61965,0.39114,0.91314,0.90918,0.86775,0.94444,0.75586,0.34493,0.26061,0.8009,0.00068825,0.00068825,0.00068825
55,1654,0.6308,0.38898,0.90294,0.90997,0.86625,0.94098,0.75483,0.32217,0.25901,0.79562,0.0006635,0.0006635,0.0006635
56,1713.88,0.65018,0.40084,0.89937,0.91944,0.87477,0.94783,0.76005,0.32635,0.25007,0.79618,0.00063875,0.00063875,0.00063875
57,1774.3,0.66657,0.41313,0.91246,0.9206,0.87625,0.94977,0.75592,0.35175,0.26276,0.80005,0.000614,0.000614,0.000614
58,1835.62,0.64792,0.40265,0.91867,0.9131,0.86997,0.94724,0.75492,0.33248,0.2533,0.80084,0.00058925,0.00058925,0.00058925
59,1899.73,0.63204,0.39813,0.91121,0.91776,0.86443,0.94607,0.75868,0.34768,0.25224,0.79946,0.0005645,0.0005645,0.0005645
60,1965.13,0.62863,0.39051,0.89768,0.92593,0.86073,0.94888,0.76087,0.32673,0.24155,0.79226,0.00053975,0.00053975,0.00053975
61,2030.42,0.64237,0.39885,0.89358,0.92508,0.86738,0.94913,0.76093,0.3439,0.24567,0.79666,0.000515,0.000515,0.000515
62,2096.09,0.62511,0.39249,0.90419,0.92493,0.8693,0.94952,0.76269,0.34105,0.2447,0.79698,0.00049025,0.00049025,0.00049025
